"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00031204","Southerland, Steve (R-FL)","r","House","0","0","5000","8000","0","13000"
"N00033310","Wenstrup, Brad (R-OH)","r","House","0","0","5000","236","0","5236"
"N00024759","Rogers, Mike D (R-AL)","r","House","0","0","4000","0","0","4000"
"N00030736","Carney, John (D-DE)","d","House","0","0","3500","12500","0","16000"
"N00033547","Buck, Jason (R-UT)","r","House","0","0","3000","0","0","3000"
"N00033375","Calderon, Ronald (D-CA)","d","House","0","0","3000","0","0","3000"
"N00033316","Castro, Joaquin (D-TX)","d","House","0","0","3000","0","0","3000"
"N00001811","Smith, Lamar (R-TX)","r","House","0","0","3000","0","0","3000"
"N00033658","Wamp, Weston (R-TN)","r","House","0","0","3000","0","0","3000"
"N00030801","Guinta, Frank (R-NH)","r","House","0","0","2750","0","0","2750"
"N00031640","Buerkle, Ann Marie (R-NY)","r","House","0","0","2500","0","0","2500"
"N00003473","Rogers, Hal (R-KY)","r","House","0","0","2500","0","0","2500"
"N00030622","Sewell, Terri A (D-AL)","d","House","0","0","2500","3000","0","5500"
"N00033932","Stewart, Chris (R-UT)","r","House","0","0","2500","0","0","2500"
"N00033812","Tisei, Richard (R-MA)","r","House","0","0","2500","0","0","2500"
"N00025495","Barletta, Lou (R-PA)","r","House","0","0","2000","0","0","2000"
"N00033904","Beatty, Joyce (D-OH)","d","House","0","0","2000","0","500","2500"
"N00026595","Boustany, Charles Jr (R-LA)","r","House","0","0","2000","0","0","2000"
"N00031593","Denham, Jeff (R-CA)","r","House","0","0","2000","0","0","2000"
"N00031513","Ellmers, Renee (R-NC)","r","House","0","0","2000","0","0","2000"
"N00033541","Gallego, Pete (D-TX)","d","House","0","0","2000","1000","0","3000"
"N00033038","Gill, Ricky (R-CA)","r","House","0","0","2000","0","0","2000"
"N00034256","Hayden, Jerry (R-CA)","r","House","0","0","2000","0","0","2000"
"N00013846","Miller, Jeff (R-FL)","r","House","0","0","2000","0","1000","3000"
"N00029285","Olson, Pete (R-TX)","r","House","0","0","2000","1000","0","3000"
"N00033549","Pocan, Mark (D-WI)","d","House","0","0","2000","1500","0","3500"
"N00033101","Schneider, Brad (D-IL)","d","House","0","0","2000","1000","0","3000"
"N00033406","Weprin, David I (D-NY)","d","House","0","0","2000","0","0","2000"
"N00030926","Adams, Sandy (R-FL)","r","House","0","0","1000","0","0","1000"
"N00033519","Anderson, Lee Ivey (R-GA)","r","House","0","0","1000","0","0","1000"
"N00033656","Bauer, Andre (R-SC)","r","House","0","0","1000","0","0","1000"
"N00033373","Cardenas, Tony (D-CA)","d","House","0","0","1000","10000","15000","26000"
"N00026041","Conaway, Mike (R-TX)","r","House","0","0","1000","0","0","1000"
"N00034784","Davis, Rodney (R-IL)","r","House","0","0","1000","500","500","2000"
"N00034430","Dieterich, Bob (R-NY)","r","House","0","0","1000","0","0","1000"
"N00031128","Gibbs, Bob (R-OH)","r","House","0","0","1000","4500","0","5500"
"N00031297","Griffin, Tim (R-AR)","r","House","0","0","1000","0","0","1000"
"N00029147","Harris, Andy (R-MD)","r","House","0","0","1000","0","0","1000"
"N00033166","Hasner, Adam (R-FL)","r","House","0","0","1000","0","0","1000"
"N00031557","Heck, Dennis (D-WA)","d","House","0","0","1000","14000","0","15000"
"N00031129","Lankford, James (R-OK)","r","House","0","0","1000","3000","0","4000"
"N00033274","Lowenthal, Alan (D-CA)","d","House","0","0","1000","0","0","1000"
"N00005559","Lucas, Frank D (R-OK)","r","House","0","0","1000","0","2500","3500"
"N00011971","Lungren, Dan (R-CA)","r","House","0","0","1000","0","0","1000"
"N00033039","Maldonado, Abel (R-CA)","r","House","0","0","1000","0","0","1000"
"N00031134","Meehan, Patrick (R-PA)","r","House","0","0","1000","0","0","1000"
"N00033091","Murphy, Patrick (D-FL)","d","House","0","0","1000","22000","40900","63900"
